Time, Inside  Temperature , Inside  Humidity , Outside  Temperature , Outside  Humidity , Other  Temperature , Other  Humidity , No  of  Tank  Switchs , Cooling  On/Off 
 2020-11-11  20:44:57.097962 ,22.7,66.0,22.7,61.6,22.8,65.8,0,True
 2020-11-11  20:45:02.810406 ,22.7,66.0,22.8,61.8,22.8,66.2,0,True
 2020-11-11  20:45:11.986321 ,22.7,66.1,22.8,61.8,22.8,66.2,0,True
 2020-11-11  20:45:16.106029 ,22.8,66.1,22.8,61.8,22.8,66.2,0,True
 2020-11-11  20:45:22.757772 ,22.7,66.1,22.8,61.8,11.4,3309.9,0,True
 2020-11-11  20:45:26.877876 ,22.8,66.2,22.8,61.8,22.8,66.2,0,True
 2020-11-11  20:45:30.078382 ,22.7,66.1,22.8,61.7,22.8,66.1,0,True
 2020-11-11  20:45:34.207139 ,22.8,66.1,22.8,61.7,22.8,66.1,0,True
 2020-11-11  20:45:38.327141 ,22.8,66.1,22.8,61.7,22.8,67.0,0,True
 2020-11-11  20:45:42.449579 ,22.8,66.1,22.8,61.7,22.8,66.1,0,True
 2020-11-11  20:45:46.570720 ,22.8,66.1,22.8,61.7,22.8,66.1,0,True
 2020-11-11  20:45:54.812346 ,22.8,66.0,22.8,61.7,22.8,66.1,0,True
 2020-11-11  20:45:58.932912 ,22.8,66.1,22.8,61.7,22.8,66.1,0,True
 2020-11-11  20:46:07.175774 ,22.7,66.0,22.8,61.7,22.8,66.1,0,True
 2020-11-11  20:46:12.890343 ,22.8,66.0,22.8,61.6,22.8,66.0,0,True
 2020-11-11  20:46:27.128683 ,22.7,66.0,22.8,61.6,22.8,66.0,0,True
 2020-11-11  20:46:36.308522 ,22.8,66.0,22.8,61.6,22.8,66.1,0,True
 2020-11-11  20:46:42.955852 ,22.8,66.0,22.8,61.6,22.8,66.1,0,True
 2020-11-11  20:46:46.538716 ,22.8,66.0,22.9,61.7,22.8,66.1,1,True
 2020-11-11  20:46:50.660343 ,22.8,66.0,22.8,61.7,22.8,66.0,1,True
 2020-11-11  20:46:56.369593 ,22.7,66.0,22.8,61.7,22.8,66.0,1,True
