Time,In_Temp,In_Hum,Out_Temp,Out_Hum,Other_Temp,Other_Hum,No_Tank_Switch
 2020-11-11  14:13:10.272177 ,23.4,67.6,23.5,63.3,23.5,67.7,0
 2020-11-11  14:13:14.898764 ,23.4,67.6,23.5,63.3,23.5,67.7,1
 2020-11-11  14:13:19.117709 ,23.4,67.7,23.5,63.3,23.5,67.7,1
 2020-11-11  14:13:23.343123 ,23.3,67.6,23.5,63.3,23.5,67.7,1
 2020-11-11  14:13:37.685734 ,23.4,67.6,23.5,63.3,23.5,67.6,1
 2020-11-11  14:13:44.435971 ,23.4,67.6,23.5,63.3,23.5,67.6,1
 2020-11-11  14:13:51.195116 ,23.4,67.6,23.5,63.3,23.5,67.6,1
 2020-11-11  14:14:00.475739 ,11.7,3310.6,23.5,63.3,23.5,67.6,1
 2020-11-11  14:14:04.698432 ,23.4,67.6,23.5,63.2,23.5,67.6,1
 2020-11-11  14:14:11.449001 ,23.4,67.6,23.5,63.3,23.5,67.6,1
 2020-11-11  14:14:18.199063 ,23.4,67.6,23.5,63.3,23.5,67.6,1
 2020-11-11  14:14:22.419676 ,23.4,67.5,23.5,63.2,23.5,67.6,1
 2020-11-11  14:14:29.171678 ,23.4,67.6,23.5,63.2,23.5,67.6,1
 2020-11-11  14:14:38.450272 ,23.4,67.6,23.5,63.2,23.5,67.6,1
 2020-11-11  14:14:45.199154 ,23.4,67.6,23.5,63.2,23.5,67.5,1
 2020-11-11  14:14:49.421024 ,23.4,67.5,23.5,63.2,23.5,67.5,1
 2020-11-11  14:14:56.174151 ,23.4,67.6,23.5,63.2,23.5,67.5,1
 2020-11-11  14:15:02.922549 ,23.4,67.5,23.5,63.2,23.5,67.5,1
 2020-11-11  14:15:06.208456 ,23.4,67.5,23.5,63.2,23.5,67.5,1
 2020-11-11  14:15:15.488253 ,23.4,67.5,23.5,63.2,23.5,67.5,1
 2020-11-11  14:15:23.830220 ,23.4,67.6,23.5,63.2,23.5,67.5,1
 2020-11-11  14:15:28.051930 ,23.4,67.5,23.5,63.2,23.5,67.5,1
 2020-11-11  14:15:32.277542 ,23.4,67.5,23.5,63.2,23.5,67.5,1
